UNNAMED: 0,MES,COMMODITY,PRODUCAO,EXPORTACOES,TRIMESTRE
0,Jan,Milho,60000.0,20000.0,T1
1,Jan,Açúcar,45000.0,25000.0,T1
2,Jan,Café,30000.0,0.0,T1
3,Jan,Soja,70000.0,50000.0,T1
4,Jan,Algodão,20000.0,5000.0,T1
5,Fev,Milho,53538.46,22000.0,T1
6,Fev,Açúcar,47000.0,26000.0,T1
7,Fev,Café,31000.0,14000.0,T1
8,Fev,Soja,72000.0,51000.0,T1
9,Fev,Algodão,21000.0,6000.0,T1
10,Mar,Milho,58000.0,18000.0,T1
11,Mar,Açúcar,43000.0,24000.0,T1
12,Mar,Café,29000.0,13000.0,T1
13,Mar,Soja,69000.0,48000.0,T1
14,Mar,Algodão,19000.0,4000.0,T1
15,Abr,Milho,62000.0,21000.0,T2
16,Abr,Soja,32000.0,29000.0,T2
17,Abr,Algodão,92000.0,51000.0,T2
18,Abr,Milho,62000.0,21000.0,T2
19,Abr,Soja,32000.0,29000.0,T2
20,Abr,Algodão,92000.0,51000.0,T2
21,Mai,Milho,65000.0,25000.0,T2
22,Mai,Soja,40000.0,30000.0,T2
23,Mai,Algodão,95000.0,52000.0,T2
24,Jun,Milho,67000.0,28000.0,T2
25,Jun,Soja,42000.0,31000.0,T2
26,Jun,Algodão,97000.0,55000.0,T2
