Index,Mes,sum,mean,Commodity,Producao,Exportacoes,Outlier_IQR_Prod,Outlier_IQR_Expo,Z_Score,Prod_Normalizado,Z_Score_Normalizado
0,Abr,372000.0,62000.0,,,,False,False,,,
101,Abr,,,CAFE,173983.68,123506.26,False,False,-0.1867497489744445,-319561.4199999999,-0.2130908410567529
100,Abr,,,SOJA,472015.19,268189.1,False,False,-0.18632734358546488,-21529.909999999974,-0.20843312122958768
95,Abr,,,AÇUCAR,329728.3,188551.65,False,False,-0.1865290093392543,-163816.8,-0.21099685947145436
94,Abr,,,SOJA,437728.31,165787.73,False,False,-0.18637593899365945,-55816.78999999998,-0.21172968971951972
76,Abr,,,CACAU,181524.1,279549.74,False,False,-0.18673906180232913,-312020.99999999994,-0.20806739245223377
23,Abr,,,MINERIO DE FERRO,59981.85,220533.72,False,False,-0.1869113258068591,-433563.24999999994,-0.20996727281451022
49,Abr,,,SOJA,85808.98,105861.61,False,False,-0.18687472055362972,-407736.12,-0.2136588685861295
85,Abr,,,AÇUCAR,443779.3,101419.42,False,False,-0.18636736281731936,-49765.79999999999,-0.21380187432502043
33,Ago,,,ALGODAO,357128.11,192729.79,False,False,-0.18649017509853585,-136416.99,-0.21086235419412727
58,Ago,,,SOJA,38681.11,186231.6,False,False,-0.1869415157265936,-454863.99,-0.21107154796170668
54,Ago,,,TRIGO,284269.62,240940.87,False,False,-0.18659343873938014,-209275.47999999998,-0.20931031316973867
63,Ago,,,SOJA,64816.06,19309.26,False,False,-0.18690447419457332,-428729.04,-0.21644521558265478
44,Ago,,,AÇUCAR,471337.99,259143.13,False,False,-0.1863283033931356,-22207.109999999986,-0.20872433471299
7,Ago,,,MILHO,193849.64,103392.75,False,False,-0.18672159259406293,-299695.45999999996,-0.2137383476603065
38,Ago,,,MILHO,76389.51,9963000.6,False,True,-0.18688807093691412,-417155.58999999997,0.10366827064369609
53,Ago,,,MILHO,74036.25,264245.38,False,False,-0.18689140625439674,-419508.85,-0.20856007991270992
60,Dez,,,TRIGO,168663.98,74856.98,False,False,-0.18675728868038952,-324881.11999999994,-0.21465698888764503
32,Dez,,,TRIGO,396879.23,279918.6,False,False,-0.18643383512526934,-96665.87,-0.20805551788206744
28,Dez,,,ALGODAO,453383.64,135665.29,False,False,-0.18635375041447783,-40161.45999999996,-0.21269941001275283
37,Dez,,,CAFE,114555.88,167136.12,False,False,-0.18683397705816357,-378989.22,-0.21168628151134694
73,Dez,,,MINERIO DE FERRO,29151.14,116361.23,False,False,-0.18695502272350412,-464393.95999999996,-0.2133208582992724
78,Dez,,,SOJA,24374.06,235300.73,False,False,-0.1869617933644192,-469171.04,-0.20949188405890554
91,Dez,,,AÇUCAR,151332.84,101501.42,False,False,-0.18678185241505355,-342212.25999999995,-0.2137992345301019
6,Dez,,,ALGODAO,292620.835,34575.93,True,False,-0.1780612823510323,-200924.26499999996,-0.21595374146206256
99,Dez,,,MILHO,62314.85,13882.68,False,False,-0.1869080192042368,-431230.24999999994,-0.21661991141568998
68,Dez,,,SOJA,136205.3,47214.36,False,False,-0.18680329294802944,-357339.8,-0.21554687727557545
61,Fev,,,AÇUCAR,202992.18,258552.48,False,False,-0.18670863470861998,-290552.9199999999,-0.20874334928455848
80,Fev,,,MINERIO DE FERRO,266464.61,118864.22,False,False,-0.18661867409846963,-227080.48999999996,-0.21324028049094218
84,Fev,,,SOJA,351447.56,182981.19,False,False,-0.18649822624363918,-142097.53999999998,-0.2111761871787929
87,Fev,,,AÇUCAR,168527.33,240772.82,False,False,-0.1867574823568783,-325017.76999999996,-0.20931572313969057
90,Fev,,,SOJA,302514.65,27938.74,False,False,-0.18656757973207552,-191030.44999999995,-0.216167410003955
47,Fev,,,ALGODAO,221368.41,193289.31,False,False,-0.18668258974920907,-272176.68999999994,-0.21084434177884917
93,Fev,,,AÇUCAR,102337.85,65817000.48,False,True,-0.18685129389058414,-391207.24999999994,1.901754917737167
75,Fev,,,MINERIO DE FERRO,116524.17,200883.98,False,False,-0.18683118736554657,-377020.92999999993,-0.21059984944624235
103,Fev,,,MINERIO DE FERRO,247243.43,93786.09,False,False,-0.18664591662062627,-246301.66999999995,-0.21404761122435345
20,Fev,,,CAFE,313063.75,259453.58,False,False,-0.18655262830399033,-180481.34999999998,-0.20871434051381377
1,Fev,236000.0,47200.0,,,,False,False,,,
27,Fev,,,AÇUCAR,337395.88,291935.31,False,False,-0.18651814194099686,-156149.21999999997,-0.207668668491882
24,Fev,,,AÇUCAR,324632.77,89721.07,False,False,-0.18653623132504937,-168912.32999999996,-0.21417847487239783
14,Fev,,,SOJA,12439.08,155957.63,False,False,-0.18697870902501282,-481106.01999999996,-0.21204614640279343
102,Jan,,,TRIGO,478062.31,292708.99,False,False,-0.186318772894145,-15482.789999999979,-0.20764376170489965
16,Jan,,,ALGODAO,292620.835,227114.2,True,False,0.15110956678905377,-200924.26499999996,-0.2097554299161522
15,Jan,,,MINERIO DE FERRO,421466.31,134322.62,False,False,-0.18639898741708147,-72078.78999999998,-0.21274263407913374
22,Jan,,,ALGODAO,463367.0,53055000.96,False,True,-0.18633960081981207,-30178.099999999977,1.4909127045308372
82,Jan,,,MINERIO DE FERRO,154464.37,244605.8,False,False,-0.1867774140415817,-339080.73,-0.20919232946741315
2,Jan,225000.0,45000.0,,,,False,False,,,
41,Jan,,,MILHO,19363.97,58278.22,False,False,-0.18696889425457433,-474181.12999999995,-0.21519070262426934
40,Jan,,,AÇUCAR,450764.42,201372000.4,False,True,-0.18635746268182474,-42780.67999999999,6.265625649046886
64,Jan,,,MINERIO DE FERRO,155563.05,223054.44,False,False,-0.18677585686276946,-337982.04999999993,-0.20988612423101036
11,Jul,,,CACAU,245072.11,238796.1,False,False,-0.18664899407129315,-248472.98999999996,-0.20937935893738957
56,Jul,,,AÇUCAR,441292.4,275242.89,False,False,-0.18637088754516393,-52252.69999999995,-0.20820604124180433
55,Jul,,,TRIGO,414024.73,221976.7,False,False,-0.18640953450149722,-79520.37,-0.20992081950632105
62,Jul,,,AÇUCAR,360028.98,199358.39,False,False,-0.18648606364360706,-133516.12,-0.2106489621868488
