CO_ANO,SG_UF_MUN,CO_MUN,VL_EXPORT,VL_IMPORT,SALDO_COMERCIAL
2025,AC,1200104,16861.0,0.0,16861.0
2025,AC,1200203,971.0,24722.0,-23751.0
2025,AC,1200252,792.0,130579.0,-129787.0
2025,AC,1200344,25928.0,0.0,25928.0
2025,AC,1200401,287325.0,166.0,287159.0
2025,AC,1200450,48871.0,423.0,48448.0
2025,AC,1200500,136321.0,0.0,136321.0
2025,AC,1200609,33244.0,0.0,33244.0
2025,AC,1200708,35292.0,0.0,35292.0
2025,AL,2700300,49894.0,1076209.0,-1026315.0
2025,AL,2700409,1906720.0,1194.0,1905526.0
2025,AL,2701001,2156073.0,0.0,2156073.0
2025,AL,2701407,263133.0,0.0,263133.0
2025,AL,2702108,33102.0,0.0,33102.0
2025,AL,2702207,0.0,134012.0,-134012.0
2025,AL,2702306,5437080.0,28002.0,5409078.0
2025,AL,2702355,23994866.0,1971.0,23992895.0
2025,AL,2703205,7000.0,0.0,7000.0
2025,AL,2703601,1204.0,0.0,1204.0
2025,AL,2704104,114854.0,0.0,114854.0
2025,AL,2704302,119.0,47931.0,-47812.0
2025,AL,2704500,0.0,1500.0,-1500.0
2025,AL,2704708,186336.0,26.0,186310.0
2025,AL,2704807,0.0,1056.0,-1056.0
2025,AL,2705002,0.0,2883.0,-2883.0
2025,AL,2705200,41045.0,79341.0,-38296.0
2025,AL,2705507,6921.0,133.0,6788.0
2025,AL,2706703,1585.0,70.0,1515.0
2025,AL,2706901,0.0,1396.0,-1396.0
2025,AL,2707701,4050.0,180.0,3870.0
2025,AL,2707909,0.0,1024430.0,-1024430.0
2025,AL,2708006,0.0,6263.0,-6263.0
2025,AL,2708303,3941000.0,0.0,3941000.0
2025,AL,2708501,6572935.0,0.0,6572935.0
2025,AL,2708600,231479.0,100.0,231379.0
2025,AL,2709152,20625.0,0.0,20625.0
2025,AM,1300300,0.0,86.0,-86.0
2025,AM,1300706,7314.0,0.0,7314.0
2025,AM,1300805,20193.0,17443.0,2750.0
2025,AM,1301001,60040.0,0.0,60040.0
2025,AM,1301209,50.0,416.0,-366.0
2025,AM,1301704,0.0,5122.0,-5122.0
2025,AM,1301852,173830.0,1473.0,172357.0
2025,AM,1301902,31.0,606.0,-575.0
2025,AM,1302504,161620.0,1431.0,160189.0
2025,AM,1302603,242.0,247102.0,-246860.0
